  -> 00
t -> 010
r -> 0110
d -> 01110
n -> 01111
w -> 10000
y -> 10001
s -> 1001
e -> 101
p -> 110000
u -> 110001
g -> 11001
o -> 1101
h -> 11100
c -> 1110100
f -> 1110101
l -> 1110110
m -> 1110111
a -> 11110
i -> 11111
111001010011101011111101101001010001001010101110000000101101100001111001100111010010011001101010010111110111111001001001110111101111011000011100101011010100101111011010011010011111100100010110100011101011110100111110111010100010111001111001000100011101110001001111001101010001111110101000110011101111110111111001000101101001001010111101000100100001110010101101010010001110111000100111100110101
